formula_pretty,number,band_gap,cbm,source,note
V2CoO4,227,1.3772,,auto_ml_correction_v1,auto ekleme; mp=mp-758452; raw_bg=0.0000; pred_bg=1.3772; conf=0.786; gate_relaxed=False
V2Cu2O7,15,0.2381,1.3954,mp_api_filtered_advanced,api_filter method=GGA+U; run_type=GGA+U; is_hubbard=True; mp=mp-757247; score=2.661
V2FeO4,227,1.5735,,auto_ml_correction_v1,auto ekleme; mp=mp-20167; raw_bg=0.0000; pred_bg=1.5735; conf=0.778; gate_relaxed=False
V2O3,167,1.0792,,auto_ml_correction_v1,auto ekleme; mp=mp-18937; raw_bg=0.0000; pred_bg=1.0792; conf=0.824; gate_relaxed=False
V2O3,206,1.4027,,auto_ml_correction_v1,auto ekleme; mp=mp-21579; raw_bg=0.0000; pred_bg=1.4027; conf=0.825; gate_relaxed=False
V2O3F,38,1.5337,,auto_ml_correction_v1,auto ekleme; mp=mp-777055; raw_bg=0.0474; pred_bg=1.5337; conf=0.816; gate_relaxed=False
V3(O2F)2,4,1.4071,,auto_ml_correction_v1,auto ekleme; mp=mp-756089; raw_bg=0.0000; pred_bg=1.4071; conf=0.801; gate_relaxed=False
V3(O2F)2,5,1.3024,,auto_ml_correction_v1,auto ekleme; mp=mp-756269; raw_bg=0.0000; pred_bg=1.3024; conf=0.828; gate_relaxed=False
V3(O2F)2,14,1.5835,,auto_ml_correction_v1,auto ekleme; mp=mp-764046; raw_bg=0.0000; pred_bg=1.5835; conf=0.786; gate_relaxed=False
V3O5,15,1.4268,,auto_ml_correction_v1,auto ekleme; mp=mp-30987; raw_bg=0.0000; pred_bg=1.4268; conf=0.802; gate_relaxed=False
V3O5F,6,1.1292,,auto_ml_correction_v1,auto ekleme; mp=mp-763908; raw_bg=0.0000; pred_bg=1.1292; conf=0.812; gate_relaxed=False
V3O5F,12,1.4787,,auto_ml_correction_v1,auto ekleme; mp=mp-763338; raw_bg=0.0000; pred_bg=1.4787; conf=0.813; gate_relaxed=False
V3O5F,38,1.4911,,auto_ml_correction_v1,auto ekleme; mp=mp-1101184; raw_bg=0.0000; pred_bg=1.4911; conf=0.813; gate_relaxed=False
V3O7,139,0.9859,,auto_ml_correction_v1,auto ekleme; mp=mp-756395; raw_bg=0.0000; pred_bg=0.9859; conf=0.802; gate_relaxed=False
V6O13,7,1.4368,,auto_ml_correction_v1,auto ekleme; mp=mp-1196958; raw_bg=0.0332; pred_bg=1.4368; conf=0.801; gate_relaxed=False
V6O13,11,0.74,,auto_ml_correction_v1,auto ekleme; mp=mp-870306; raw_bg=0.0000; pred_bg=0.7400; conf=0.802; gate_relaxed=False
V6O7F5,5,0.9101,,auto_ml_correction_v1,auto ekleme; mp=mp-763201; raw_bg=0.0000; pred_bg=0.9101; conf=0.828; gate_relaxed=False
V6O7F5,6,0.6637,,auto_ml_correction_v1,auto ekleme; mp=mp-776983; raw_bg=0.0000; pred_bg=0.6637; conf=0.814; gate_relaxed=False
V8Ni2O15,15,1.2473,,auto_ml_correction_v1,auto ekleme; mp=mp-36484; raw_bg=0.0000; pred_bg=1.2473; conf=0.755; gate_relaxed=False
V9NiO15,2,1.1001,,auto_ml_correction_v1,auto ekleme; mp=mp-677070; raw_bg=0.0000; pred_bg=1.1001; conf=0.789; gate_relaxed=False
VCdO3,62,0.4299,3.8783,mp_api_filtered_advanced,api_filter method=GGA+U; run_type=GGA+U; is_hubbard=True; mp=mp-22649; score=2.610
VO2,14,1.4581,,auto_ml_correction_v1,auto ekleme; mp=mp-1102963; raw_bg=0.0000; pred_bg=1.4581; conf=0.798; gate_relaxed=False
VO2,58,1.738,,auto_ml_correction_v1,auto ekleme; mp=mp-547074; raw_bg=0.0000; pred_bg=1.7380; conf=0.820; gate_relaxed=False
VO2,136,1.4696,,auto_ml_correction_v1,auto ekleme; mp=mp-19094; raw_bg=0.0000; pred_bg=1.4696; conf=0.823; gate_relaxed=False
VO2,139,1.3316,,auto_ml_correction_v1,auto ekleme; mp=mp-20593; raw_bg=0.0000; pred_bg=1.3316; conf=0.822; gate_relaxed=False
VOF,14,1.6202,,auto_ml_correction_v1,auto ekleme; mp=mp-753622; raw_bg=0.0000; pred_bg=1.6202; conf=0.760; gate_relaxed=False
VOF,92,1.5823,,auto_ml_correction_v1,auto ekleme; mp=mp-754589; raw_bg=0.0000; pred_bg=1.5823; conf=0.803; gate_relaxed=False
VSbO4,109,0.5193,6.6983,mp_api_filtered_advanced,api_filter method=GGA+U; run_type=GGA+U; is_hubbard=True; mp=mp-29146; score=2.680
YCo4(CuO4)3,204,0.8202,,auto_ml_correction_v1,auto ekleme; mp=mp-1045774; raw_bg=0.0000; pred_bg=0.8202; conf=0.835; gate_relaxed=True
YFe4(CuO4)3,204,0.8874,,auto_ml_correction_v1,auto ekleme; mp=mp-1045770; raw_bg=0.0000; pred_bg=0.8874; conf=0.829; gate_relaxed=True
Zn(FeO2)2,8,1.7812,,auto_ml_correction_v1,auto ekleme; mp=mp-531053; raw_bg=0.0000; pred_bg=1.7812; conf=0.771; gate_relaxed=False
Zn(FeO2)2,166,1.6753,,auto_ml_correction_v1,auto ekleme; mp=mp-1388646; raw_bg=0.0000; pred_bg=1.6753; conf=0.763; gate_relaxed=False
ZnFe4NiO8,160,1.6957,,auto_ml_correction_v1,auto ekleme; mp=mp-1215703; raw_bg=0.0000; pred_bg=1.6957; conf=0.757; gate_relaxed=False
ZnFe4NiO8,216,1.4922,,auto_ml_correction_v1,auto ekleme; mp=mp-1215616; raw_bg=0.0000; pred_bg=1.4922; conf=0.756; gate_relaxed=False
ZnFe5O8,216,1.6069,,auto_ml_correction_v1,auto ekleme; mp=mp-35033; raw_bg=0.0000; pred_bg=1.6069; conf=0.774; gate_relaxed=False
